win_%,hs_%,mvp_%,kd,dmg_round,accuracy,contribution_round,total_matches_played,banned
0.513636363636364,0.875020691938421,0.0646750357540124,13.7462075242718,1178.64214206261,0.365017065951645,6.40298744636898,440,1
1,0.854166666666667,0.392156862745098,4.64516129032258,416.78431372549,0.200452147701583,5.29411764705882,4,1
0.501436781609195,0.797675596171003,0.120213506614064,3.52257187752155,331.212629896083,0.279203306708531,1.46592403496558,4872,0
1,0.783783783783784,0.28,2.17647058823529,670.72,0.487719298245614,2.72,1,1
0.482652274479568,0.777417025365759,0.156756135850213,13.2724802837629,543.310793735881,0.273240520392261,2.22406861431252,1297,1
0.785714285714286,0.763513513513514,0.413636363636364,3.86086956521739,352.177272727273,0.453511705685619,3.09545454545455,14,1
0.257731958762887,0.736842105263158,0.0125391849529781,0.0353817504655494,20.3322884012539,0.110411899313501,0.19644723092999,291,1
0.410953346855984,0.732277108624428,0.210155260395932,2.33801076104413,308.452918823061,0.219831851946449,3.87815135174261,4930,0
0.467057396928052,0.724542917649698,0.137789659719917,0.90933372031,284.986040711601,0.165621280447735,3.70479155265684,4948,0
0.181818181818182,0.717687074829932,0.165,1.16666666666667,226.33,0.163376446562287,7.83,11,1
0.363636363636364,0.715189873417722,0.264214046822743,1.65734265734266,257.408026755853,0.266969610905993,2.45484949832776,22,1
0.461308968860712,0.713887630171388,0.154077063848563,1.04190916592023,227.433775289514,0.212029416348518,4.01638348197817,5363,0
0.461308968860712,0.713887630171388,0.154077063848563,1.04190916592023,227.433775289514,0.212029416348518,4.01638348197817,5363,0
0.65625,0.702229299363057,0.30045871559633,1.88588588588589,233.701834862385,0.315214753700558,2.19954128440367,32,1
0.461102994886779,0.693766110897823,0.121360497289353,0.813163227477095,296.233767986623,0.212918488763193,4.42685002586924,5476,0
0.28169014084507,0.691860465116279,0.211885500933416,1.72048464356157,552.164281269446,0.351238386086597,10.139079029247,497,1
0.45,0.688699360341151,0.147208121827411,2.22274881516588,354.685279187817,0.207680646791309,10.7918781725888,20,1
0.477397153136243,0.686631824105138,0.179660138585889,2.64311821554528,225.107491829451,0.203696910371307,2.88237752534751,6393,0
0.254678600488202,0.680365296803653,0.0136585365853659,0.052821997105644,15.2690731707317,0.218851924331376,0.189268292682927,1229,1
0.516748366013072,0.667235813866546,0.066124525102829,1.0022509549082,300.163282991617,0.195848426293985,3.93099940343496,4896,0
0.8,0.666666666666667,0.154761904761905,0.77027027027027,346.345238095238,0.325068870523416,2.29761904761905,5,1
0.603896103896104,0.666540785498489,0.215636822194199,2.18481848184819,265.393442622951,0.260244131455399,3.81084489281211,154,1
0.325951443569554,0.663852468698323,0.0995398983656091,3.23219211423008,326.996480565856,0.241681304069472,6.65332715286362,6096,0
0.437060203283816,0.654661326382725,0.132233796296296,0.913897017300683,453.950856854839,0.2113828529451,4.47601179808841,5116,0
0.8,0.644628099173554,0.283950617283951,1.70422535211268,294.327160493827,0.270506912442396,2.33950617283951,15,1
0.525,0.642684401451028,0.456953642384106,1.85842696629214,1007.64569536424,0.466095238095238,19.4437086092715,40,1
0.43161094224924,0.642386214262241,0.154129980888413,1.28161728898775,451.144463715602,0.266012421965593,7.83322102053667,4935,0
0.56140350877193,0.641905737704918,0.300217864923747,1.3382084095064,389.589978213508,0.189062896356524,2.78649237472767,114,1
0.496296296296296,0.640926640926641,0.238805970149254,0.664904862579281,254.997014925373,0.195331177049641,2.6228855721393,135,1
0.43123739071957,0.640454536080348,0.106527380835058,0.907863695937091,139.191458887684,0.207846144408319,2.91111330113991,5948,0
0.43123739071957,0.640454536080348,0.106527380835058,0.907863695937091,139.191458887684,0.207846144408319,2.91111330113991,5948,0
0.476850907607587,0.639470282382006,0.123481139368471,0.975836066492866,242.468740708438,0.216595147907079,3.63788182124522,4903,0
0.443273905996759,0.639180540396509,0.135909429974514,0.897238671472709,208.797165413066,0.181869854645712,3.37152669857649,4936,0
0.393976147159895,0.636035524177211,0.115224890091309,0.965177953378822,384.167818735205,0.191457737144191,7.63426445722016,4947,0
0.433333333333333,0.634854771784232,0.0798611111111111,0.700581395348837,115.465277777778,0.174918753584401,3.13541666666667,30,1
0.493468261269549,0.634589982506872,0.140508104059433,0.94557750409308,207.325207500501,0.185107635483789,3.2211480678285,5435,0
0.380315917375456,0.63382349557013,0.172663309880289,0.935594577835957,485.454499983327,0.24094340946993,13.3751208776551,4938,0
0.457203718048025,0.626691114525001,0.131479633210654,1.45744104582716,186.548780487805,0.184425648454321,1.65551119705571,5164,0
0.162162162162162,0.624090006618134,0.0421836228287841,1.03848797250859,696.719602977668,0.608971348050728,5.31265508684864,37,1
0.43074155506696,0.622591818433361,0.109458615008805,1.58095373620466,407.021075952963,0.213957414258113,7.48754189626768,5003,0
0.43074155506696,0.622591818433361,0.109458615008805,1.58095373620466,407.021075952963,0.213957414258113,7.48754189626768,5003,0
0.506149479659414,0.622185502114685,0.0908379523964786,0.873504637727977,192.485066840561,0.204103651518722,2.83052929029453,6342,0
0.415523243907434,0.619409129833344,0.135782099244724,1.20697263023991,148.514902590527,0.19086308492201,2.26814957295123,4883,0
0.546422018348624,0.619347872405736,0.177805566351792,2.06711755089244,325.858052959765,0.23502820467984,4.29345015800057,5450,0
0.714285714285714,0.617142857142857,0.207446808510638,1.27737226277372,152.170212765957,0.138020833333333,1.65425531914894,14,1
0.554277643260694,0.616674750942129,0.138579406729717,1.13095125064616,205.209146016333,0.198496944796137,3.14612157269946,4956,0
